id_atencion,id_cliente,documento_cliente,fecha_atencion,fecha_proceso,valor_facturado,estado,codigo_cups,canal_ingreso,json_detalle
1,1879,43604200,2025-09-26T19:49:49.529914,2025-09-26,356370.2,PENDIENTE,4644,WEB,"{""diagnostico"": ""DX135"", ""medico"": ""Dr. Gomez""}"
2,1204,62857945,2026-02-24T19:49:49.530019,2026-02-24,-293281.73,cancelada,5321,CALL_CENTER,"{""diagnostico"": ""DX103"", ""medico"": ""Dr. Perez""}"
3,670,90458942,2025-10-04T19:49:49.530046,2025-10-04,162875.88,CERRADA,5078,APP,"{""diagnostico"": ""DX74"", ""medico"": ""Dr. Lopez""}"
4,1706,40904375,2026-01-10T19:49:49.530076,2026-01-10,222072.31,cancelada,9911,WEB,"{""diagnostico"": ""DX192"", ""medico"": ""Dr. Gomez""}"
5,2080,11248749,2026-02-15T19:49:49.530108,2026-02-15,322136.29,CERRADA,5593,APP,"{""diagnostico"": ""DX64"", ""medico"": ""Dr. Gomez""}"
6,1466,79205283,2025-10-23T19:49:49.530126,2025-10-23,337958.38,Cancelada,7257,WEB,{malformado: true}
7,2061,67062361,2026-02-15T19:49:49.530141,2026-02-15,215546.47,Pendiente,1992,CALL_CENTER,"{""diagnostico"": ""DX191"", ""medico"": ""Dr. Lopez""}"
8,101,60711717,2025-09-07T19:49:49.530162,2025-09-07,131796.26,Cancelada,5136,CALL_CENTER,"{""diagnostico"": ""DX171"", ""medico"": ""Dr. Lopez""}"
9,429,65186135,2025-12-04T19:49:49.530183,2025-12-04,209324.56,Pendiente,5920,APP,"{""diagnostico"": ""DX145"", ""medico"": ""Dr. Lopez""}"
10,1376,95081424,2025-11-01T19:49:49.530203,2025-11-01,178959.53,PENDIENTE,5212,WEB,"{""diagnostico"": ""DX62"", ""medico"": ""Dr. Gomez""}"
11,1118,50710838,2025-09-15T19:49:49.530222,2025-09-15,162855.86,Cancelada,1924,CALL_CENTER,"{""diagnostico"": ""DX146"", ""medico"": ""Dr. Lopez""}"
12,152,16931344,2025-12-18T19:49:49.530239,2025-12-18,322020.28,ACTIVA,3321,WEB,"{""diagnostico"": ""DX109"", ""medico"": ""Dr. Perez""}"
